0x1fb3b6620: canAccessPathAt:methodName:error:
0x1fb3b8572: setWaitEvents:
0x1fadebc82: archivedDataWithRootObject:requiringSecureCoding:error:
0x1fb3b8153: programPriorityForQoS:
0x1fb346ab6: aneDefaultTaskQoS
0x1fa99c890: copyErrorValue:vmData:
0x1fb3b84ea: setModelAttributes:
0x1fb3493af: sharedEvents
0x1fb3b7774: isRootDaemon
0x1fa82bf90: callIOUserClientWithDictionary:inDictionary:error:
0x1fb025634: requestWithInputs:inputIndices:outputs:outputIndices:procedureIndex:
0x1fb3b7c4e: outputBuffer
0x1fb3b7b47: modelWithMILText:weights:optionsPlist:
0x1fb3b6bda: doEvaluateDirectWithModel:options:request:qos:error:
0x1faa37010: encodeXPCObject:forKey:
0x1fadec9cc: getResourceValue:forKey:error:
0x1fb3b7587: initWithWeightSymbolAndURLSHA:weightURL:SHACode:sandboxExtension:
0x1fadea9f4: numberWithBool:
0x1fa56f3a5: parallelDecompressedData:
0x1fa3ffd90: releaseIOSurfaces:
0x1fa08042d: doEvaluateWithModelLegacy:options:request:qos:completionEvent:error:
0x1fa4fd010: initWithContentsOfFile:options:error:
0x1fb3b8c78: virtualizationHostError:error:
0x1fb02723b: setL:
0x1f9ffc410: contentsOfDirectoryAtPath:error:
0x1fb3b7da7: pps_privateFrameworkDir
0x1fb3b8bca: userDaemonConnection
0x1fb348528: purgeCompiledModel
0x1fb3b7cec: pStatsRawData
0x1fb3b6d94: errorDomainVirtIO
0x1fb346adb: aneUserInitiatedTaskQoS
0x1fb3b89f2: testing_zeroModelName
0x1fb3b73ab: initWithNetworkText:weights:optionsPlist:isMILModel:
0x1fac76d90: machServiceName
0x1fb3b6327: procedureSymbol
0x1f9f11e10: substringToIndex:
0x1fb3b77ca: launchIOKitEvent
0x1f9f5fb90: device
0x1fb3b6b6e: doBuffersReadyWithModel:inputBuffers:options:qos:error:
0x1fb3b82a7: reportEvaluateFailure:failureReason:qIdx:
0x1fab43310: initWithContentsOfFile:
0x1fb3b7d7c: pps_defaultUserPathPrefix
0x1fb3b85ee: signalValue
0x1f9e1ba90: compiler
0x1fadf4150: componentsSeparatedByString:
0x1fadec0e0: containsIndex:
0x1fb01cfed: createErrorWithCode:description:
0x1fae2077f: dataWithContentsOfFile:
0x1fa1c7190: description
0x1fa1af290: getValidateNetworkVersion
0x1fadecc44: hasSuffix:
0x1fb3b766a: inputFreeValue
0x1fb3b6c2e: doLoadModelNewInstance:options:modelInstParams:qos:error:
0x1fa90fcb2: program
0x1fafc69f0: setProgram:
0x1fb3b851e: setProgramHandle:
0x1fabe7c90: sourceURL
0x1fadcfe10: stats
0x1fb3b68e7: controllerWithPrivilegedVM:
0x1fb3b7dfc: prepareChainingWithModel:options:chainingReq:qos:error:
0x1fad57923: copyLLIRBundleToIOSurface:writtenDataSize:
0x1fad00210: countByEnumeratingWithState:objects:count:
0x1f9e22b90: decodeIntegerForKey:
0x1fb3b63e7: perfCounterData
0x1fa186510: setCodeSigningIdentity:
0x1fb3b8b31: updateModelAttributes:state:
0x1fb3b7b25: modelWithCacheURLIdentifier:UUID:
0x1fb3b7969: modelAssetsCacheName
0x1fa0daa90: enumerateObjectsUsingBlock:
0x1faf81024: queueDepth
0x1fb3b8565: setUsecount:
0x1fb3b86d5: string_id
0x1fb3b872b: systemModelPurgeNotAllowedForMethod:
0x1fb3b649c: analyticsKey:
0x1f9e36010: mutableCopy
0x1fade9f90: setState:
0x1fb3b88d7: testing_inputDirectory
0x1fb3b8d6b: weightArray
0x1fa171d90: processIdentifier
0x1fb3b8265: realTimeQueueIndex
0x1fadeda5a: numberWithDouble:
0x1fb3b7c31: optionsPlistHash
0x1fb3b7f08: processOutputSet:model:options:error:
0x1fb3b81dc: purgeCompiledModel:withReply:
0x1fa349c90: setValue:forKey:
0x1fa6f3610: addObject:
0x1fb3b6903: controllerWithProgramHandle:
0x1fa206d61: updatePerformanceStats:performanceStatsLength:perfStatsRawIOSurfaceRef:performanceStatsRawLength:hwExecutionTime:
0x1fb3b8c46: virtualizationDataError:
0x1fb021022: inMemoryModelWithDescriptor:
0x1fb3b69b2: createIOSurfaceWithWidth:pixel_size:height:
0x1fb34835f: perfStats
0x1fa6c4190: checkKernReturnValue:selector:outParams:
0x1fae01f77: createDirectoryAtPath:withIntermediateDirectories:attributes:error:
0x1fadecc28: hasDirectoryPath
0x1fa08af90: lastPathComponent
0x1fb3b6377: adapterWeightsAccessEntitlement
0x1fadebd5a: arrayWithObjects:count:
0x1facbe910: value
0x1f9ed5ba9: tool
0x1faa760a6: common
0x1fa776790: exchangeBuildVersionInfo
0x1fb3b7602: inputBufferInfoIndex
0x1fadf9541: numberWithUnsignedLong:
0x1fb3b8224: qosForProgramPriority:
0x1fad9c410: removeItemAtPath:error:
0x1fb3b7617: inputBuffersWithProcedureIndex:inputBufferInfoIndex:inputFreeValue:executionDelay:
0x1fb3b7947: missingCodeSigningErrorForMethod:
0x1fa8ac790: aneBoardtype
0x1fb3b70b2: initWithIOSurface:statType:
0x1fb3b800e: programIOSurfacesUnmapErrorForMethod:code:
0x1fb3b7eca: processModelShareAccessEntitlement
0x1fb3467e3: waitEventWithValue:sharedEvent:
0x1fa4b4510: decodeObjectOfClass:forKey:
0x1fa1677d8: defaultManager
0x1f9e1abc9: isEqualToString:
0x1fb3b7ea1: processInputBuffers:model:options:error:
0x1f9e22590: setDevice:
0x1fb3b84df: setMapper:
0x1fb3b7910: mapperWithProgramHandle:
0x1fb3493e5: sharedPrivateConnection
0x1fb3b6803: compilerOptionsWithOptions:isCompiledModelCached:
0x1fae0c798: signaledValue
0x1fb3b66d3: cloneDirectory
0x1fa8b6310: dealloc
0x1fa127910: decodeObjectOfClasses:forKey:
0x1fb3b6ca2: doUnloadModel:options:qos:error:
0x1fb3b6dec: fileNotFoundErrorForMethod:
0x1f9dfaf90: getValue:
0x1f9ec9710: productName
0x1facd2790: sharedConnection
0x1f9fae510: unsignedLongLongValue
0x1fb3b7b7b: networkText
0x1fb3b7b87: noSandboxExtension
0x1fae08ae7: notifyListener:atValue:block:
0x1fb3b7dca: pps_varDir
0x1fa035f90: setModel:
0x1f9eb217a: setSandboxExtension:
0x1fa6e6710: updateError:errorLength:error:
0x1f9fb5ead: copyToIOSurface:size:ioSID:
0x1f9fdde90: addEntriesFromDictionary:
0x1f9fd59a4: copyOptions:vmData:
0x1fb3b73e0: initWithProcedure:weightArray:
0x1fb3b74eb: initWithValue:sharedEvent:eventType:
0x1fb3b7711: isAnetoolRootDaemonConnection
0x1fb34869c: requestWithInputs:inputIndices:outputs:outputIndices:weightsBuffer:perfStats:procedureIndex:sharedEvents:
0x1fb346aa1: aneBackgroundTaskQoS
0x1f9deb7b5: bootArgs
0x1f9eb659e: evaluateWithModel:options:request:qos:error:
0x1fadf9500: numberWithInt:
0x1fa446a10: path
0x1fb3b7d63: pps_defaultSystemPathDir
0x1fb3b8b9d: updateWeightURL:
0x1fb3b69de: createIOSurfaceWithWidth:pixel_size:height:bytesPerElement:
0x1fab9c5cc: copyAllModelFiles:dictionary:ioSurfaceRefs:
0x1fa88ca9c: copyFilesInDirectoryToIOSurfaces:ioSurfaceRefs:ioSurfaceSizes:fileNames:
0x1fb3b62f7: modelBinaryName
0x1fb3b8905: testing_modelDirectory:
0x1fb3b8896: testing_external_modelPath
0x1fa2f1210: appendFormat:
0x1fb347576: getCacheURLIdentifier
0x1fa50a490: lastObject
0x1fa6d3590: longValue
0x1fa0e7710: substringFromIndex:
0x1fa3fac10: synchronousRemoteObjectProxyWithErrorHandler:
0x1fb3b676c: compileWithQoS:options:error:
0x1fab8469f: copyErrorValue:
0x1fadf9559: numberWithUnsignedLongLong:
0x1fb3b85aa: shouldSkipCloneFor:isEncryptedModel:
0x1fb349775: weightWithSymbolAndURL:weightURL:
0x1fa92fb90: initWithSingletonAccess
0x1fadea0e5: stringWithUTF8String:
0x1fb3b8c21: validateRequest:model:
0x1fb3b6a5d: dataNotFoundForMethod:
0x1fa088990: encodeObject:forKey:
0x1fb3b8962: testing_userCacheDirectoryWithSuffix:
0x1fb3b8cf7: vm_forceValidationOnGuestBootArg
0x1f9decf8a: new
0x1fb3b836c: requestWithInputs:inputIndices:outputs:outputIndices:weightsBuffer:procedureIndex:
0x1fa8dd310: createIOSurface:ioSID:
0x1fb3b6b40: dispatchQueueArrayByMappingPrioritiesWithTag:
0x1fb3b6d51: entitlementErrorForMethod:
0x1fb3b75c9: initWithstatsSurRef:outputBuffer:
0x1fb3b62c7: ioSurfacesCount
0x1fa017190: negotiatedDataInterfaceVersion
0x1fb3b7bb6: objectWithIOSurface:startOffset:
0x1fb3b7b9a: notSupportedErrorForMethod:
0x1fa067cb3: readWeightFilename:
0x1fb3b850c: setPerfStatsMask:
0x1fb3b8719: systemLibraryPath
0x1f9f31990: writeToFile:atomically:
0x1fb3b6d6c: errorDomainCompiler
0x1fb3b78cb: mapIOSurfacesWithRequest:cacheInference:error:
0x1fb3b63b7: echo:withReply:
0x1fb3b62d7: modelAtURL:key:modelAttributes:
0x1fb3b87bf: testing_cacheDirectory
0x1fb3b883f: testing_dataVaultStorageClass
0x1fabf77b8: aneArchitectureTypeStr
0x1fabdcb90: copyModel:options:vmData:
0x1f9fc4d10: copyModelMetaData:options:dictionary:vmData:
0x1fb3b7173: initWithInputs:outputs:lbInputSymbolId:lbOutputSymbolId:procedureIndex:signalEvents:transactionHandle:fwEnqueueDelay:memoryPoolId:
0x1fb3b83fa: sandboxExtensionPathForModelURL:
0x1fb3b885d: testing_defaultMLIRModelName
0x1fa9243b7: compiledModelExistsMatchingHash:
0x1fb3b7477: initWithRequestPerformanceBuffer:statsBufferSize:
0x1fadfaa70: rangeOfString:options:range:
0x1fae0ee94: setDateFormat:
0x1fabee6a6: stringByDeletingLastPathComponent
0x1fb3b87f8: testing_cacheDirectoryWithSuffix:buildVersion:
0x1fa8eef10: completionHandler
0x1fa056590: descriptor
0x1fae229fe: fileHandleForReadingAtPath:
0x1f9fe5210: processInfo
0x1fb3b86eb: symbolIndicesForProcedureIndex:indexArrayKey:
0x1fb3b6cc3: driverMaskForANEFMask:
0x1fa1458a4: isExcessivePowerDrainWhenIdle
0x1fa91c990: copyWithZone:
0x1f9e4e190: doEvaluateWithModel:options:request:qos:completionEvent:error:
0x1fb3b80bd: programInferenceProgramNotFoundForMethod:
0x1fb3b83bf: requestsInFlight
0x1fa2d8710: state
0x1fb3b8c0f: userTempDirectory
0x1fb3b6b05: defaultMLIRFileName
0x1fb3b64aa: ane_addWriteModeForPath:
0x1fa377a56: copyDictionaryDataToStruct:dictionary:
0x1fadea5d2: setWithObjects:
0x1fa0580c9: sortedArrayUsingComparator:
0x1fb3b8aac: trimmedModelPath:trimmedPath:
0x1fb3b8cc2: vm_allowPrecompiledBinaryBootArg
0x1fb3b799b: modelAtURLWithCacheURLIdentifier:key:cacheURLIdentifier:
0x1fb3b842a: secondaryANECompilerServiceAccessEntitlement
0x1fb3b645b: agentMask
0x1fa0e0290: transferFileToHostWithPath:withChunkSize:withUUID:withModelInputPath:overWriteFileNameWith:
0x1fb3b8c97: virtualizationKernelError:kernelErrorCode:
0x1fae31442: writeToFile:atomically:encoding:error:
0x1fb3b65bf: buildSpecificModelDataVaultDirectory
0x1fb3b6532: beginRealTimeTaskWithReply:
0x1fad7a342: dataUsingEncoding:
0x1fb3b78b4: machServiceNamePrivate
0x1fa0bd810: stringByAppendingPathComponent:
0x1fb3b8dbb: weightsHash
0x1fb3b6eb6: inMemoryModelCacheName
0x1facae990: getDeviceInfo
0x1f9dfb990: modelURL
0x1f9e55e90: scheme
0x1fb3b7a9c: modelIdentifierNotFoundForMethod:
0x1fadec0a0: componentsJoinedByString:
0x1fb3b6920: convertToHexString:length:
0x1faf80194: eventPort
0x1fa7fd090: firstObject
0x1fabb50cb: isBootArgPresent:
0x1fb3b7d54: pps_catalogDir
0x1fb3b823b: queueIndexForQoS:
0x1f9ea8bba: unloadModel:options:qos:error:
0x1fb3b6a74: dataVaultStorageClass
0x1fb3b7bd7: objectWithIOSurfaceNoRetain:startOffset:
0x1fb3b63d7: isVirtualClient
0x1fb3b67c0: compiledModelExistsMatchingHash:withReply:
0x1fb3b6af2: defaultMILFileName
0x1fb3b6e17: guestToHostInterfaceTooOld:
0x1fb3b721a: initWithModelAtURL:key:identifierSource:cacheURLIdentifier:modelAttributes:standardizeURL:
0x1fb3b7804: loadModel:sandboxExtension:options:qos:withReply:
0x1fb3b7c5b: outputIndexArray
0x1fb3b8ce3: vm_debugDumpBootArg
0x1fb3b6fbc: initWithController:intermediateBufferHandle:queueDepth:
0x1fa183994: aneSubTypeProductVariant
0x1fb3b78fa: mapperWithController:
0x1fb3b8095: programInferenceOverflowErrorForMethod:
0x1fabf8327: setWithArray:
0x1fb3b8aed: unmapIOSurfacesWithModel:request:error:
0x1fa8a17b5: validateEnvironmentForPrecompiledBinarySupport
0x1fa83f610: callIOUserClient:inParams:outParams:
0x1faa67edf: dictionaryGetInt8ForKey:key:
0x1fb3b6ba6: doEnqueueSetsWithModel:outputSet:options:qos:error:
0x1fb3b83de: restrictedAccessEntitlement
0x1fb3b8669: statsWithRequestPerformanceBuffer:statsBufferSize:
0x1fadfd1b3: stringByAppendingString:
0x1fb019e74: l
0x1f9e56e10: initialize
0x1fa2d3aaa: getCodeSigningIdentity
0x1fa822690: initWithDispatchQueue:
0x1fb3b7425: initWithProgramHandle:priviledged:
0x1fa970010: loadModelNewInstanceLegacy:options:modelInstParams:qos:error:
0x1f9f7c210: restricted
0x1fb3b8603: statsSurRef
0x1fb3b847c: setCompilerOptionsFileName:
0x1fb3b6444: addValue:forScalarKey:
0x1f9df3aa3: appendData:
0x1fb3b6737: compileModel:sandboxExtension:options:qos:withReply:
0x1fb3b76ce: invalidModelInstanceErrorForMethod:
0x1faded271: isFileURL
0x1fb3b86df: symbolIndex
0x1fb3b789a: loopbackOutputSymbolIndex
0x1fa5ec890: memoryPoolId
0x1fa33a410: compare:
0x1fb3b6879: connectionUsedForLoadingModel:
0x1faf5f9e7: getUUID
0x1fb3b769e: internalLibraryPath
0x1fb3b63c7: isEqualToModel:
0x1fa08dd10: objectForKey:
0x1f9e5960d: validateNetworkCreate:uuid:function:directoryPath:scratchPadPath:milTextData:
0x1fb3b8788: teamIdentity
0x1f9fb9da0: addIndex:
0x1fae200b4: copyItemAtPath:toPath:error:
0x1fb3b6db5: fastConn
0x1fb3b7d2e: ppsSubsystemForANE
0x1fb3b7eed: processNameFor:identifier:
0x1fa6ce9b9: shouldUsePrecompiledPath:options:shouldUseChunking:chunkingThreshold:
0x1fb3b7929: memoryUnwireAccessEntitlement
0x1fb3b6898: consumeSandboxExtension:forModel:error:
0x1f9eb6f99: buildVersion
0x1fadecc39: hasPrefix:
0x1fb3b77a6: issueSandboxExtensionForPath:error:
0x1fb3b8465: setCacheURLIdentifier:
0x1fa5e9290: updatePerformanceStats:
0x1fa34d790: allValues
0x1fb3b6856: connectionForLoadingModel:options:
0x1fb349682: unmapIOSurfacesWithModel:request:
0x1fb3b7a6f: modelCacheRetainName
0x1fb3b7037: initWithDesctiptor:
0x1faa0fa90: initWithMachServiceName:options:
0x1fb3b75f6: inputBuffer
0x1fa73e910: isVirtualMachine
0x1fb3b7872: localModelPath
0x1f9fa9790: start
